t,Re<C_aa>,Im<C_aa>,|C_aa|,|C_aa|^2,Re<C_ab>,Im<C_ab>,|C_ab|,|C_ab|^2
925.2,0.0237496052,0.0802918524,0.0837306712,0.00701082531,0.00641648526,0.00250448543,0.00688794094,4.74437304e-05
928.8,0.0497148447,-0.0402792059,0.0639842185,0.00409398021,0.00390244526,-0.00539172249,0.00665580577,4.42997504e-05
932.4,-0.062042409,-0.0275058508,0.0678662828,0.00460583234,-0.00414467619,-0.00320591061,0.00523986675,2.74562036e-05
936,-0.0112373793,0.0820268129,0.0827929751,0.00685467672,-0.00185581148,0.00345377479,0.00392079029,1.53725965e-05
939.6,0.0965300247,-0.000993557315,0.0965351378,0.00931903282,0.00428211595,0.00119838063,0.00444664291,1.97726332e-05
943.2,-0.0133944527,-0.103940535,0.104800029,0.0109830461,0.00111044758,-0.00565837592,0.00576630834,3.32503118e-05
946.8,-0.111570342,0.0285646896,0.115168931,0.0132638827,-0.00527124695,-0.00226218747,0.00573616044,3.29035365e-05
950.4,0.0381273165,0.125436799,0.131103329,0.0171880828,-0.00233069419,0.00419622028,0.00480004167,2.30404001e-05
954,0.138409235,-0.0355110304,0.14289209,0.0204181495,0.00309295554,0.000325186484,0.00311000325,9.67212022e-06
957.6,-0.0274222924,-0.142273891,0.14489252,0.0209938423,-0.00106820433,-0.00287964462,0.00307138627,9.43341361e-06
961.2,-0.139007231,0.0236359872,0.141002376,0.0198816701,-0.00427000319,0.00191008414,0.00467775038,2.18813487e-05
964.8,0.0254519677,0.13587002,0.138233371,0.0191084649,0.00176596958,0.00454297371,0.00487414184,2.37572587e-05
968.4,0.133930853,-0.0260904452,0.136448469,0.0186181846,0.00388146313,-0.000966802098,0.00400005779,1.60004624e-05
972,-0.0221110641,-0.125617629,0.127548767,0.0162686879,-0.00189767056,-0.00330116333,0.0038077333,1.44988329e-05
975.6,-0.106611198,0.0189625304,0.108284464,0.0117255251,-0.00285760764,0.00313443724,0.00424153489,1.79906182e-05
979.2,0.0223508065,0.0810211407,0.0840475091,0.00706398379,0.00373431536,0.00379065118,0.00532110398,2.83141475e-05
982.8,0.0553662322,-0.0337916771,0.064863681,0.00420729711,0.00458504664,-0.00400634514,0.00608879742,3.70734541e-05
986.4,-0.0505325884,-0.0362908631,0.062213899,0.00387056923,-0.00301522431,-0.00417171405,0.00514730762,2.64947757e-05
990,-0.0264847546,0.0653081218,0.0704740591,0.004966593,-0.00361194833,0.00259557459,0.00444782848,1.97831782e-05
993.6,0.0739620868,0.0219519746,0.0771510174,0.00595227948,0.00328475763,0.00266904759,0.00423242811,1.79134477e-05
997.2,0.018883621,-0.0789802376,0.0812063365,0.00659446908,0.00260329929,-0.00349284973,0.00435627897,1.89771664e-05
1000.8,-0.0845930706,-0.0179139491,0.0864690533,0.00747689717,-0.00346575022,-0.00328934796,0.00477820411,2.28312346e-05
1004.4,-0.0220812793,0.0921276361,0.0947369212,0.00897508423,-0.00304869854,0.00282107007,0.00415367297,1.72529991e-05
1008,0.0975670466,0.0318225617,0.102625552,0.010532004,0.0020754686,0.00208355435,0.00294087889,8.64876862e-06
1011.6,0.0412284977,-0.0969991296,0.105397439,0.0111086202,0.000912791847,-0.00269259306,0.00284310505,8.08324635e-06
1015.2,-0.0927662142,-0.0445669939,0.10291641,0.0105917874,-0.00378361206,-0.000207375039,0.00378929078,1.43587246e-05
1018.8,-0.0419556026,0.0892254754,0.0985974546,0.00972145805,-0.000575658622,0.00410126672,0.00414146973,1.71517715e-05
1022.4,0.0886412423,0.0370556109,0.096074909,0.00923038815,0.00386589821,0.000894864642,0.00396811689,1.57459517e-05
1026,0.0348984888,-0.0891106334,0.0957006244,0.0091586095,0.000362211535,-0.00329490761,0.00331475691,1.09876133e-05
1029.6,-0.084657439,-0.034656515,0.0914765325,0.008367956,-0.00319028227,0.000412977431,0.00321690089,1.03484513e-05
1033.2,-0.0279645305,0.0749004563,0.079950568,0.00639209332,0.000810412736,0.00433579253,0.00441088037,1.94558656e-05
1036.8,0.0683484015,0.0104293153,0.0691395299,0.0047802746,0.00497048264,-0.000673267599,0.00501587349,2.51589869e-05
1040.4,-0.0126704138,-0.0712276222,0.0723457916,0.00523391356,1.22594559e-05,-0.00463733526,0.00463735147,2.15050286e-05
1044,-0.0807056575,0.032820443,0.0871239612,0.00759058462,-0.00389553903,0.000141264197,0.00389809952,1.51951799e-05
1047.6,0.0467694352,0.0883147703,0.0999343721,0.00998687872,0.00098630748,0.0026976199,0.00287227359,8.2499556e-06
1051.2,0.0899010173,-0.0581730491,0.107080795,0.0114662966,0.00280366389,-0.00165759324,0.00325701497,1.06081465e-05
1054.8,-0.0690944468,-0.0889038884,0.112596376,0.012677944,-0.00167262588,-0.00376449306,0.00411935496,1.69690853e-05
1058.4,-0.0881421067,0.0773447497,0.117265687,0.0137512413,-0.0038281628,0.000995611228,0.00395551162,1.56460722e-05
1062,0.0811237267,0.0887420997,0.120234019,0.0144562193,0.000234785877,0.00326359494,0.00327202939,1.07061763e-05
1065.6,0.0903643229,-0.0770634899,0.118762335,0.0141044923,0.0022742722,-0.00101227063,0.00248937862,6.19700589e-06
1069.2,-0.0641860435,-0.0869642488,0.10808621,0.0116826288,-0.00253473766,-0.00130296481,0.0028500197,8.1226123e-06
1072.8,-0.0741748256,0.0509795034,0.090004525,0.00810081452,-0.00226106376,0.00334111369,0.00403428432,1.627545e-05
1076.4,0.0458189682,0.0583689075,0.0742044958,0.0055063072,0.00354039557,0.00281845921,0.00452527492,2.04781131e-05
1080,0.0489995873,-0.0465921568,0.067615003,0.00457178863,0.00239677175,-0.00243967904,0.00342002173,1.16965486e-05
1083.6,-0.0443559174,-0.0462902056,0.0641110797,0.00411023054,-0.00212801952,-0.00211099722,0.00299746165,8.98477634e-06
1087.2,-0.0394105585,0.0355715483,0.0530898029,0.00281852717,-0.000982926278,0.00331881336,0.00346130989,1.19806662e-05
